tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
0,pengyuan,zendler,f,508,744-9007,swampscott,ma,1907,m,n,90000,5.3,0,7150,0
3,xiangning,vanneste,f,862,651-6469,brigantine,nj,8203,m,y,55000,1.9519792,0,2000,1500
6,babette,abawajy,m,202,222-8737,washington,dc,20226,s,n,95000,9.0,1370,0,0
8,rossella,chinen,f,202,868-7188,washington,cd,20541,s,n,35000,9.0,1370,0,0
10,nabuo,lugli,f,203,800-6915,southbury,ct,6488,s,n,90000,5.0,12750,0,0
18,howard,kageura,m,203,243-4810,stamford,ct,6913,s,n,80000,5.0,12750,0,0
24,chaisak,lageweg,m,302,577-3291,newark,de,19711,m,y,95000,5.95,0,220,110
33,heeju,liberman,m,802,101-6985,east wallingford,vt,5742,s,n,40000,3.8009440000000003,3300,0,0
39,surjatini,stellhorn,m,802,915-9500,waterbury,vt,5671,m,y,35000,3.7014668,0,6600,3300
42,avelino,english,m,401,795-3153,westerly,ri,2891,m,y,70000,0.0,0,0,0
45,yuyan,simao,m,603,350-5756,east derry,nh,3041,m,y,50000,0.0,0,0,0
46,toshiya,moshkow,m,609,858-3419,belleville,nj,7109,s,y,75000,2.2673959999999997,1000,0,1500
49,naomi,jolfaei,f,802,284-1040,barre,vt,5641,s,y,30000,3.6019894999999997,3300,0,3300
52,rosana,prabhakar,m,716,742-9434,schenectady,ny,12308,s,n,20000,4.0695124,0,0,0
55,antoni,bober,f,860,822-3830,east woodstock,ct,6244,s,y,70000,5.0,12750,0,0
59,masadi,punnekkat,f,717,492-9196,north east,pa,16428,s,y,35000,3.07,0,0,0
60,tankoano,stumptner,m,203,717-2198,versailles,nj,6383,m,y,5000,3.0,0,24500,0
65,montgomery,odberg,m,802,390-6816,brownsville,vt,5037,s,n,60000,4.1988535,3300,0,0
66,peizong,cardazo,f,856,512-8410,toms river,nj,8755,m,n,45000,1.7942707999999998,0,2000,0
68,teemu,krybus,m,302,229-8352,cheswold,de,19936,m,n,15000,2.8818183,0,220,0
69,glauco,pottossine,m,202,785-2906,washington,c,20528,m,n,20000,6.75,0,2740,0
71,mirit,hanchek,f,603,995-2629,canaan,nj,3741,m,y,70000,0.0,0,0,0
77,gudala,earley,f,203,691-8996,oneco,ct,6373,m,n,55000,5.0,0,24500,0
80,heidi,keum,f,302,657-4843,wilmington,de,19899,s,y,75000,5.95,110,0,110
82,hiromu,nobauer,m,401,119-4372,kingston,ri,2881,s,n,75000,0.0,0,0,0
83,gregoria,plesniewicz,f,302,686-2159,wilmington,de,19893,s,y,65000,5.95,110,0,110
90,dung,pike,f,774,133-6113,bridgewater,ma,2325,s,n,55000,5.3,3575,0,0
92,sonu,merhav,m,603,379-9505,glen,nh,3838,m,n,15000,0.0,0,0,0
96,jaihie,cau,f,302,446-6343,dagsboro,de,19939,m,y,10000,2.540909,0,220,110
97,juanita,sivarajan,f,603,966-6735,grafton,nh,3240,s,y,30000,0.0,0,0,0
100,uinam,hekken,f,339,769-6182,belmont,ma,2478,m,y,35000,5.3,0,7150,1000
102,baoquan,guha,f,339,730-7750,east walpole,ma,2032,s,y,40000,5.3,3575,0,1000
114,refael,hasida,f,939,677-3999,luquillo,pr,773,s,y,30000,0.0,0,0,0
116,giuseppe,daigle,m,603,900-7725,manchester,nh,3104,m,y,70000,0.0,0,0,0
120,kayo,haralick,f,339,730-9081,dorchester,ma,2125,m,y,40000,5.3,0,7150,1000
125,teruji,dey,f,202,989-1133,washington,c,20431,m,n,10000,4.5,0,2740,0
135,chinho,demmer,f,860,584-9932,east hampton,ct,6424,m,n,30000,5.0,0,24500,0
138,mitsuhisa,papadimitriou,f,207,410-8062,gouldsboro,me,4607,s,y,60000,8.5,2850,0,2850
140,pranava,siochi,m,540,851-6497,gainesville,va,20156,m,n,60000,5.75,0,1800,0
143,souichi,wadey,f,802,519-2066,stowe,vt,5672,s,n,45000,3.9004214,3300,0,0
145,jean,tsujishita,f,202,132-8926,washington,cd,20424,s,y,10000,4.5,1370,0,1370
153,john,sherratt,m,978,184-9558,ocean bluff,ma,2065,s,n,60000,5.3,3575,0,0
157,bir,byron,f,315,750-4795,beaver falls,ny,13305,m,y,30000,4.127439,0,0,1000
160,prabhudev,kodama,f,802,216-5879,ascutney,vt,5030,m,y,70000,4.397808,0,6600,3300
162,taylor,sanada,f,787,500-5910,moca,pr,676,m,y,85000,0.0,0,0,0
171,daphne,belkhatir,f,202,188-9789,washington navy yard,zdc,20398,s,y,25000,7.875,1370,0,1370
175,thao,noriega,m,631,978-2969,yonkers,ny,10702,s,n,40000,4.1853657,0,0,0
178,long,comparot,f,814,984-2470,arcola,pa,19420,m,y,95000,3.07,0,0,0
183,manrique,fayolle,f,302,938-1929,viola,de,19979,m,y,60000,5.95,0,220,110
188,monty,muchnick,m,302,573-6497,delmar,de,19940,m,n,5000,2.2,0,220,0
191,rondall,treweek,f,603,108-9496,north stratford,nh,3590,m,y,10000,0.0,0,0,0
199,joop,bashkow,m,301,101-4374,bladensburg,md,20710,s,y,100000,4.75,2400,0,2400
202,yunming,litant,f,802,262-8257,glover,vt,5839,s,n,60000,4.1988535,3300,0,0
206,suzan,duclos,f,401,664-5371,pawtucket,ri,2861,s,y,90000,0.0,0,0,0
215,mohammed,rathi,m,202,781-8242,washington,cd,20013,s,y,95000,9.0,1370,0,1370
220,anthong,huuskonen,m,939,661-2631,luquillo,pr,773,s,n,15000,0.0,0,0,0
222,ashwini,schnoebelen,f,301,389-5635,takoma park,md,20913,m,n,100000,4.75,0,4800,0
223,djamila,crepeau,f,603,740-3671,east kingston,nh,3827,m,y,60000,0.0,0,0,0
233,shiafun,cappelli,m,443,240-3353,galena,md,21635,s,n,20000,4.75,2400,0,0
243,sonoko,dam,f,939,206-1159,cabo rojo,pr,623,s,n,45000,0.0,0,0,0
247,mandy,sidou,m,267,606-1367,hesston,pa,16647,m,y,100000,3.07,0,0,0
253,isdor,fosse,f,202,950-4713,washington,cd,20472,s,n,35000,9.0,1370,0,0
255,varsha,ernst,m,484,993-6874,ashfield,pa,18212,s,y,25000,3.07,0,0,0
260,wafa,shumilov,f,202,655-6005,washington,dkc,20425,s,n,30000,9.0,1370,0,0
261,tricia,cosica,f,207,356-5611,shawmut,me,4975,m,y,50000,8.5,0,5700,2850
269,lunjiang,hanchek,f,802,278-9141,grand isle,vt,5458,m,n,40000,3.8009440000000003,0,6600,0
272,vaughan,hanatani,f,878,638-2204,pittsburgh,pa,15215,m,y,85000,3.07,0,0,0
278,till,kotani,f,207,240-8137,east boothbay,me,4544,s,y,5000,2.2135036,2850,0,2850
279,imari,kleinjohann,f,401,143-3552,cumberland,ri,2864,s,y,30000,0.0,0,0,0
281,bilhanan,sione,f,774,767-4605,needham heights,ma,2494,m,n,15000,5.3,0,7150,0
284,lizy,suorsa,f,717,743-1281,scranton,pa,18505,m,n,75000,3.07,0,0,0
285,ioanis,lupu,f,724,116-3246,benezett,pa,15821,m,n,45000,3.07,0,0,0
286,grigoris,gentile,f,603,961-8799,nashua,nh,3060,m,n,45000,0.0,0,0,0
288,rinie,jonckers,m,401,910-7985,johnston,ri,2919,m,y,35000,0.0,0,0,0
289,jovanna,fosse,f,202,411-7553,washington,dkc,20208,m,y,75000,9.0,***,2740,1370
292,firoz,heydon,m,443,375-8726,drayden,md,20630,m,y,30000,4.75,0,4800,2400
293,xiannong,pinzani,m,339,361-4214,south dartmouth,ma,2748,s,n,30000,5.3,3575,0,0
294,gady,deacon,m,203,823-1927,hartford,ct,6102,m,y,45000,5.0,0,24500,0
296,humphrey,ramamoorthy,f,401,466-2957,clayville,ri,2815,m,n,90000,0.0,0,0,0
297,sethu,haasis,m,802,330-7388,londonderry,vt,5148,s,y,85000,4.69624,3300,0,3300
301,guenter,sigal,m,401,707-8008,providence,ri,2908,s,n,10000,0.0,0,0,0
302,gunnvald,lieflander,m,917,747-7431,amityville,ny,11701,s,n,65000,4.330183,0,0,0
308,ljiljana,smeets,f,508,693-9220,agawam,ma,1001,m,y,45000,5.3,0,7150,1000
312,rein,sakagami,m,302,675-7612,yorklyn,de,19736,m,n,100000,5.95,0,220,0
322,manoli,umaschi,m,302,556-6474,wilmington,de,19898,s,y,20000,3.2227273,110,0,110
329,martyne,naggar,f,724,821-3010,parker ford,pa,19457,m,n,35000,3.07,0,0,0
334,alin,mandell,m,410,552-8074,baltimore,md,21280,m,y,75000,4.75,0,4800,2400
336,shabbir,dharanipragada,m,908,696-4412,branchville,nj,7890,s,y,95000,2.5828125,1000,0,1500
341,yanbing,gecsei,m,570,288-8387,brush valley,pa,15720,s,n,50000,3.07,0,0,0
346,nick,gelosh,m,207,257-6382,salsbury cove,me,4672,s,y,35000,8.5,2850,0,2850
347,ran,sabelli,f,860,110-1437,greenwich,ct,6830,s,n,80000,5.0,12750,0,0
353,nitsan,ertl,m,351,912-9267,west warren,ma,1092,s,y,75000,5.3,3575,0,1000
